"Timestamp","What field are you currently in? ","What is your position?","What is your gender? ","Have you published in a peer-reviewed journal before? ","Are you aware it is possible to make amendments to peer-reviewed publications?","Have you ever considered amending some (minor or major) aspect of your previously published work?","Have you ever attempted to amend an error in one of your published works via the journal? Were you successful?","If your attempt was successful: would you agree that the current amendment system works well?","If the attempt for amendment was unsuccessful: Why? ","If you haven't formalized an attempt for amendment: Why not? ","Would you welcome such a framework for published papers (ran by authors)? ","Finally, are there any comments or suggestions you'd like to make about barriers to the amendment process? "
"2022/01/10 10:47:45 am CET","Life sciences","Post-doc","Woman","Yes","Yes","Yes","Unsuccessful attempt","Strongly disagree","Editors/Journals not being cooperative","I have but the editor never replied","Maybe",""
"2022/01/10 10:59:55 am CET","Maths/Statistics","Staff academic","Man","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","Unclear how to proceed;Too much hassle with publisher","Yes",""
"2022/01/10 11:04:52 am CET","Maths/Statistics","PhD-student","Woman","No","Yes","I have not previously published","Never made an attempt","","","","Yes",""
"2022/01/10 11:06:25 am CET","Conservation Biology","Conservation Biologist","Man","Yes","No","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes",""
"2022/01/10 11:08:26 am CET","Life sciences","Post-doc","Woman","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","","I have not considered an attempt for amendment","Yes",""
"2022/01/10 11:31:06 am CET","Life sciences","Staff academic","Man","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes",""
"2022/01/10 11:42:13 am CET","Life sciences","Post-doc","Woman","Yes","No","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Maybe",""
"2022/01/10 11:42:31 am CET","Life sciences","Staff academic","Woman","Yes","No","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Maybe","I dont understand why amendment is necessary. I have published almost 60 papers and never needed this. If the required amendment is serious, just do an erratum via the original journal article, or a retraction. Alternatively, complete a follow-on study or a ""perspective"" article. This soln arguably just adds another layer of work in publishing and more trouble for the reader who probably already has to access acres of supplementary material? I think the ""need"" for this soln is probably v niche."
"2022/01/10 11:48:58 am CET","Life sciences","PhD-student","Man","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","","I have not considered an attempt for amendment","Yes",""
"2022/01/10 11:51:42 am CET","Life sciences","Post-doc","Man","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Maybe",""
"2022/01/10 11:55:30 am CET","Earth sciences","Post-doc","Woman","Yes","Yes","Yes","Successful attempt","Neutral","","Unclear how to proceed;Embarrassment","Yes",""
"2022/01/10 12:00:11 pm CET","Life sciences","MSc student","Man","No","No","I have not previously published","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Maybe",""
"2022/01/10 12:02:42 pm CET","Social sciences","Post-doc","Woman","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Maybe","I would welcome the above suggestion, if there was also a note in the published paper about any amendments made. Sometimes one downloads the pdf without looking at the online info so it would be important to have a note in the pdf about amendments so people know to look. "
"2022/01/10 12:04:13 pm CET","Life sciences","PhD-student","Woman","Yes","No","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes",""
"2022/01/10 12:09:33 pm CET","Life sciences","Staff academic","Man","Yes","No","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes",""
"2022/01/10 12:10:00 pm CET","Life sciences","Post-doc","Man","Yes","No","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Maybe",""
"2022/01/10 12:13:57 pm CET","Life sciences","PhD-student","Man","Yes","Yes","Yes","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","Unclear how to proceed;Too much hassle with publisher","Maybe",""
"2022/01/10 12:24:43 pm CET","Earth sciences","Post-doc","Woman","Yes","Yes","Yes","Successful attempt","Neutral","","","Yes",""
"2022/01/10 12:28:48 pm CET","Life sciences","Post-doc","Man","Yes","Yes","Yes","Never made an attempt","I have made no attempts to amend previously published work","","Unclear how to proceed;Too much hassle with publisher","Yes","I think this is a good idea although I'm wondering how you plan to get journals to ""buy in"" to it? eg is it purely by saying this requires no input from them? I suppose my other concern is that it requires users to actively check the links to see whether there are updates (if the journal is not required to flag them on the manuscript's page)?"
"2022/01/10 12:32:41 pm CET","Life sciences","Staff academic","Woman","Yes","Yes","Yes","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","It wasn't a true error as much as inconsistent formatting","Maybe",""
"2022/01/10 12:33:18 pm CET","Life sciences","Staff academic","Man","Yes","No","No","Unsuccessful attempt","Strongly disagree","Unclear how to proceed;Editors/Journals not being cooperative","Unclear how to proceed;Too much hassle with publisher","Yes",""
"2022/01/10 12:33:40 pm CET","Social sciences","Post-doc","Woman","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes",""
"2022/01/10 12:39:54 pm CET","Life sciences","Staff academic","Woman","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes",""
"2022/01/10 12:39:58 pm CET","Social sciences","Research fellow ","Man","Yes","Yes","Yes","Successful attempt","Disagree","","","Maybe",""
"2022/01/10 12:40:33 pm CET","Medicine","Post-doc","Woman","Yes","Yes","Yes","Never made an attempt","I have made no attempts to amend previously published work","","Too much hassle with my ""superiors"" at work. Not embarrassment, but fights. My superiors during my post doc have little to no stats expertise and there is no stats support. It all falls to me..","Yes","Scientific culture needs to be more accepting of errors and mistakes in my post doc country (Germany). My PhD UK experience was more positive because we were taught that all people make mistakes. "
"2022/01/10 12:47:09 pm CET","Social sciences","Staff academic","Man","Yes","Yes","Yes","Successful attempt","Agree","","","No",""
"2022/01/10 12:50:01 pm CET","Social sciences","Post-doc","Woman","Yes","No","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes",""
"2022/01/10 12:51:41 pm CET","Life sciences","Post-doc","Woman","Yes","Yes","Yes","Successful attempt","Agree","","","Yes",""
"2022/01/10 12:53:03 pm CET","Neuroscience","Post-doc","Woman","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Maybe",""
"2022/01/10 1:12:27 pm CET","Life sciences","PhD-student","Man","No","Yes","I have not previously published","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes",""
"2022/01/10 1:16:55 pm CET","Life sciences","Staff academic","Woman","Yes","Yes","Yes","Unsuccessful attempt","","Editors/Journals not being cooperative","","Maybe","I've tried this twice. 1) small error (made by the journal) meaning the link to supplementary materials was not correct. Was told it was not possible to fix without being a completely new article version/full corrigendum so just added a note to the top of the paper. This is an online journal... 2) website that the article linked to was bought by hackers when the rental of the server name ran out so it redirected to pornography! Journal corrected it immediately with no fuss and no issues. lol."
"2022/01/10 1:21:02 pm CET","Life sciences","Staff academic","Man","Yes","No","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes",""
"2022/01/10 1:23:16 pm CET","Life sciences","Staff academic","Woman","Yes","No","No","Never made an attempt","I have made no attempts to amend previously published work","","I have not considered an attempt for amendment","Yes",""
"2022/01/10 2:05:03 pm CET","Life sciences","Post-doc","Woman","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","","I have not considered an attempt for amendment","Yes","Such amendments might be perceived as lower quality as they have not been peer-reviewed"
"2022/01/10 2:08:53 pm CET","Life sciences","PhD-student","Man","Yes","No","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","Unclear how to proceed;Embarrassment;Scorn of peers","Yes",""
"2022/01/10 2:16:40 pm CET","Life sciences","Post-doc","Man","Yes","No","Yes","Never made an attempt","Strongly disagree","I have made no attempts","Unclear how to proceed","Yes","Workers developing and implementing would hugely benefit from amendments since their work can change fairly constantly (if only for maintaining software dependencies, etc...) and this work needs to be reviewed (and also needs recognition). The impossibility of doing this effectively is the primary barrier to me. One way to greatly improve this would be to link methods papers to updatable repositories (as suggest above) and review them regularly (e.g. after a pre-defined number of changes)."
"2022/01/10 2:42:39 pm CET","Life sciences","Staff academic","Woman","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes",""
"2022/01/10 3:14:03 pm CET","Life sciences","Staff academic","Man","Yes","Yes","Yes","Successful attempt","Neutral","","","Yes",""
"2022/01/10 3:33:57 pm CET","Life sciences","Post-doc","Man","Yes","Yes","No","Unsuccessful attempt","","no answer form the journal ","","Yes",""
"2022/01/10 3:37:32 pm CET","Life sciences","Staff academic","Woman","Yes","No","Yes","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","Unclear how to proceed","Maybe",""
"2022/01/10 4:13:11 pm CET","Life sciences","Post-doc","Woman","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","Time consuming","Yes",""
"2022/01/10 6:29:15 pm CET","Life sciences","Post-doc","Woman","Yes","No","Yes","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","The type of amendment I would like to do is an „update“ a few years after publication with more data to either support the previous findings or say that with more data the results were not reproducible. Such „updates“ are currently not possible or sought after in the scientific literature ","Yes","I think by not allowing updates we are slowing scientific progress. Replicate studies are unpopular because scientific journals are all about novelty, therefore few scientists invest in replicating studies or rerunning scripts with more data because the benefit associated with writing a whole new paper is so little. Allowing updates/amendments/comments on existing published papers without a lengthy review process would circumvent this issue. "
"2022/01/10 6:31:53 pm CET","Life sciences","PhD-student","Man","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","No","Any necessary amendments to a paper should be made to the original version, otherwise the data/text most people will read would not be accurate. Additional data probably belongs in a new publication, or it shouldve been in the original paper. These additions would lack the necessary quality control by peer review on any new additions. The current system for amendments should be promoted and streamlined"
"2022/01/10 7:30:18 pm CET","Life sciences","Staff academic","Woman","Yes","Yes","Yes","Successful attempt","Neutral","","","Maybe? I think it depends on the scope of the ""amendments"" that would be placed here. If this was truly just used for easy amendments (we found a mistake in our data/code) then that seems okay, but if it were instead used to add more datasets to the paper (here is a new follow-up we just did), then that doesn't necessarily seem appropriate? ",""
"2022/01/10 7:32:24 pm CET","Life sciences","Post-doc","Man","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes",""
"2022/01/10 7:33:26 pm CET","Social sciences","Staff academic","Man","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","Unclear how to proceed;Too much hassle with publisher","Yes",""
"2022/01/10 7:36:21 pm CET","Life sciences","Staff academic","Woman","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Maybe",""
"2022/01/10 7:36:45 pm CET","Life sciences","Post-doc","Man","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Maybe",""
"2022/01/10 7:40:54 pm CET","Life sciences","Staff academic","Woman","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Maybe",""
"2022/01/10 7:45:37 pm CET","Life sciences","Staff academic","Man","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Yes",""
"2022/01/10 8:19:39 pm CET","Life sciences","PhD-student","Man","Yes","Yes","No","Never made an attempt","I have made no attempts to amend previously published work","I have made no attempts","I have not considered an attempt for amendment","Maybe",""
