FirstResponse,FinalResponse
I have but the editor never replied,Other
Unclear how to proceed,Unclear how to proceed
Too much hassle with publisher,Too much hassle with publisher
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
Unclear how to proceed,Unclear how to proceed
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
Unclear how to proceed,Unclear how to proceed
Embarrassment,Embarrassment
Unclear how to proceed,Unclear how to proceed
It wasn't a true error as much as inconsistent formatting,Other
Unclear how to proceed,Unclear how to proceed
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
Too much hassle with publisher,Too much hassle with publisher
"Too much hassle with my ""superiors"" at work. Not embarrassment, but fights. My superiors during my post doc have little to no stats expertise and there is no stats support. It all falls to me..",Other
Too much hassle with publisher,Too much hassle with publisher
I have not considered an attempt for amendment,I have not considered an attempt for amendment
Too much hassle with publisher,Too much hassle with publisher
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
Scorn of peers,Scorn of peers
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
Unclear how to proceed,Unclear how to proceed
Unclear how to proceed,Unclear how to proceed
I have not considered an attempt for amendment,I have not considered an attempt for amendment
Embarrassment,Embarrassment
Too much hassle with publisher,Too much hassle with publisher
Unclear how to proceed,Unclear how to proceed
Time consuming,Time consuming
The type of amendment I would like to do is an „update“ a few years after publication with more data to either support the previous findings or say that with more data the results were not reproducible. Such „updates“ are currently not possible or sought after in the scientific literature ,Other
I have not considered an attempt for amendment,I have not considered an attempt for amendment
Too much hassle with publisher,Too much hassle with publisher
I have not considered an attempt for amendment,I have not considered an attempt for amendment
Unclear how to proceed,Unclear how to proceed
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
Unclear how to proceed,Unclear how to proceed
Too much hassle with publisher,Too much hassle with publisher
Embarrassment,Embarrassment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
Too much hassle with publisher,Too much hassle with publisher
Time consuming,Time consuming
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
Scorn of peers,Scorn of peers
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
Embarrassment,Embarrassment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
Time consuming,Time consuming
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
Unclear how to proceed,Unclear how to proceed
I have not considered an attempt for amendment,I have not considered an attempt for amendment
Unclear how to proceed,Unclear how to proceed
Unclear how to proceed,Unclear how to proceed
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
Unclear how to proceed,Unclear how to proceed
Time consuming,Time consuming
Unclear how to proceed,Unclear how to proceed
I have not considered an attempt for amendment,I have not considered an attempt for amendment
Too much hassle with publisher,Too much hassle with publisher
Unclear how to proceed,Unclear how to proceed
Minor innacuracies only,Other
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
Unclear how to proceed,Unclear how to proceed
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
"Once I finish some more study If I find I made mistakes in past I will correct. So far, the status of knwoledge is more or less same. ",Other
Time consuming,Time consuming
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
Time consuming,Time consuming
Embarrassment,Embarrassment
Unclear how to proceed,Unclear how to proceed
I have not considered an attempt for amendment,I have not considered an attempt for amendment
Unclear how to proceed,Unclear how to proceed
I have not considered an attempt for amendment,I have not considered an attempt for amendment
Too much hassle with publisher,Too much hassle with publisher
Embarrassment,Embarrassment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
Too much hassle with publisher,Too much hassle with publisher
I have not considered an attempt for amendment,I have not considered an attempt for amendment
Embarrassment,Embarrassment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
Time consuming,Time consuming
I have not considered an attempt for amendment,I have not considered an attempt for amendment
Unclear how to proceed,Unclear how to proceed
Time consuming,Time consuming
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
Time consuming,Time consuming
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
I have not considered an attempt for amendment,I have not considered an attempt for amendment
Embarrassment,Embarrassment
